,Open,High,Close,Volume
0,923.71,933.36,930.09,1616708
1,935.0,936.3,923.59,2707393
2,938.45,943.76,940.08,1400852
3,944.29,952.49,944.19,1505064
4,947.52,948.96,945.75,1445754
5,943.95,947.54,945.79,1254574
6,949.1,950.0,940.3,1123921
7,948.37,949.1,947.64,2039418
8,947.81,954.49,946.56,1332456
9,960.0,961.19,945.5,2293389
10,947.99,961.79,958.33,1813794
11,969.18,969.52,952.51,3717900
12,972.78,973.95,965.31,2221625
13,970.7,976.73,969.03,5933602
14,994.1,1006.19,998.31,3984532
15,989.0,995.11,993.84,1463322
16,997.0,998.68,992.19,1418385
17,990.01,995.6,992.77,1412148
18,973.36,990.85,986.95,1413335
19,976.32,983.35,975.96,1660464
20,974.0,977.54,976.91,1079608
21,970.8,978.7,968.85,1524571
22,960.86,969.63,967.66,1602115
23,950.52,954.89,953.53,1461247
24,941.95,953.13,951.0,1451460
25,930.98,944.66,940.81,1663302
26,925.0,936.14,927.69,2014855
27,924.2,936.29,932.26,2094055
28,933.22,934.24,919.46,1694811
29,943.99,945.0,929.68,2287662
30,951.35,951.66,937.82,3206674
31,950.66,963.24,961.01,2745568
32,961.6,967.22,948.09,2443602
33,990.0,993.99,972.09,1517912
34,975.5,986.62,986.09,1563985
35,976.87,980.5,976.62,1009476
36,970.79,979.67,978.59,1161607
37,975.31,980.79,968.99,1297287
38,969.65,979.3,975.22,1468837
39,957.91,959.95,958.62,2559207
40,948.02,960.68,960.18,2427639
41,975.5,979.7,967.93,1505486
42,972.04,977.91,970.5,2005356
43,958.72,968.0,961.81,4202109
44,1005.49,1005.5,970.12,3647857
45,1004.23,1005.6,1004.28,1687925
46,998.82,1003.91,1001.59,1374097
47,1003.31,1008.61,996.68,1552114
48,997.89,1007.4,1003.88,1378916
49,988.59,996.48,996.12,1735469
50,990.96,993.14,988.29,1306384
51,996.21,999.6,987.09,1724095
52,992.5,997.62,996.17,1516685
53,992.0,996.39,993.27,1636416
54,979.0,995.78,991.86,1954149
55,975.26,978.12,977.61,1142488
56,969.96,974.51,970.55,1545421
57,957.0,964.82,964.07,1387392
58,952.82,959.56,954.65,1360299
59,943.2,954.18,950.5,1800465
60,959.7,960.99,942.17,2449058
61,963.55,965.9,964.61,1101544
62,955.29,962.7,959.22,1337697
63,957.85,957.98,955.14,1214851
64,951.29,957.99,955.89,1031093
65,956.22,956.71,954.84,1145969
66,961.33,962.2,956.71,1687942
67,947.45,960.99,958.69,1876690
68,956.72,958.44,950.28,1615548
69,950.29,959.14,954.72,1938260
70,936.05,950.2,948.45,1824759
71,933.27,942.98,937.09,1751292
72,924.15,935.82,932.82,2327782
73,929.0,935.9,924.52,3845857
