,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
1009,-0.3328590563565089,-0.33404749087550045,-0.33271497004177397,-0.3350958645826394,-0.3291196091459293,-0.32923050294245015,-0.3246181369298964,-0.29589090453941214,-0.16095246394239404,0.13216169134880662,-4.723694599328219
1008,-0.33561305392522545,-0.3403918767971926,-0.33638342807699817,-0.30817695147867086,-0.33203989229093145,-0.32898783902733775,-0.32608762739233876,-0.28911632801522513,-0.1868816197337213,0.11745266180210079,-9.106030769218847
1007,-0.335657956059498,-0.3392775232980664,-0.33957274057292774,-0.2865244874239271,-0.334334186536133,-0.32971283492187065,-0.32752564483110835,-0.29775752224616403,-0.20375853922376597,0.10327108568791754,-8.083780451283104
1006,-0.3420041243700187,-0.34541389656658816,-0.3481524403859214,0.04637285516144729,-0.3374581407107351,-0.3310579719328012,-0.3293533282772566,-0.22714683035502203,-0.20829471351524875,0.11780517055205686,-20.227509133864775
1005,-0.35243638689934176,-0.3568100183509859,-0.355758875822223,-0.06032083179031322,-0.34240614866513874,-0.33439834557909853,-0.33126718785965203,-0.1886925967834242,-0.22174490245214784,0.0733859953176812,-18.259213102353318
1004,-0.35480123263769614,-0.358652416136208,-0.35782519096043086,-0.1584797068923428,-0.3474290356745422,-0.3381221881282893,-0.33275616162246335,-0.1533669069150536,-0.22387569813505082,-0.0698744824865013,-5.723729942666164
1003,-0.3574803933159585,-0.35153541178845504,-0.3512668863913362,-0.09014997911375822,-0.35040622690134415,-0.3410716032446839,-0.33444596325061604,-0.10975847771228275,-0.19865972385220199,-0.09739701367753295,13.940653446106955
1002,-0.3495027807935349,-0.35146112155517995,-0.3514465659685717,-0.3790467300767051,-0.3527813905259458,-0.343406868946288,-0.3358854794047985,-0.12826421406517896,-0.21224637462032003,-0.11781023221976172,-1.4073168210920255
1001,-0.34778153231308717,-0.347895190357976,-0.34851179954039235,-0.11517829477172936,-0.3528532744187459,-0.3450051553501444,-0.33714440035171467,-0.1605766926914286,-0.19307866624658432,-0.12584927536269763,5.6387537466894075
1000,-0.3462398923697294,-0.3494998593967178,-0.345232647255845,-0.5627661898608634,-0.35074767539214446,-0.34642668655657316,-0.33766895074626324,-0.2610727578709613,-0.22412971625270683,-0.17961557422284213,6.382507364142638
999,-0.34240824357847166,-0.34707799779195003,-0.3478529744238623,-0.4589932850952013,-0.34875289736694315,-0.34794108913792143,-0.33823696388778857,-0.32117965637706425,-0.23653235699814812,-0.19727503853697237,-6.896285528330626
998,-0.34827545579008523,-0.34938099502347764,-0.35071287436152687,-0.4694955438620344,-0.3486420763655431,-0.3493746037475657,-0.3388327032644546,-0.39705404945914047,-0.2526810107684522,-0.21835247262320256,-7.462475041468722
997,-0.35604352501923675,-0.35768664310363185,-0.36288616571922994,-0.1290237566736736,-0.3509303802863446,-0.35170687359836605,-0.34036214234341666,-0.34704597469459353,-0.23691454063082895,-0.21890871410239554,-28.830061478162317
996,-0.3630632253438457,-0.36388244855877383,-0.36408402956746644,-0.3317993738711408,-0.3540453489743468,-0.3533006662260165,-0.3418323821635655,-0.390373205675556,-0.27477113423213295,-0.2401439157514813,-3.767187294669282
995,-0.3639463006512059,-0.3601827949416747,-0.3589332150200496,-0.25737593508967627,-0.35678592238734863,-0.3536182264112251,-0.3436623136828333,-0.32929090397704985,-0.29449715954538813,-0.2567624012756401,10.86213266505149
994,-0.35893222899077093,-0.3619211864003117,-0.3653268133100117,-0.06497097821832698,-0.3602812766747513,-0.3543686870375906,-0.34590064515214225,-0.2504809581828483,-0.28513655168520124,-0.25314087507905125,-15.738604311319639
993,-0.3599799454571305,-0.3558591033650649,-0.3552198370905165,0.028545284717561792,-0.36118282049695183,-0.3547641393436993,-0.347573960910752,-0.15086586020840198,-0.2732546681932365,-0.23455797686892244,22.23139892232724
992,-0.35550469940796603,-0.3504210582893288,-0.34678987025855246,0.025483360692375667,-0.35796302113194955,-0.35429828454369994,-0.3485091593284614,-0.11996228614186644,-0.23275954435794266,-0.22107910110653806,18.09985490844908
991,-0.34564119724609543,-0.3456813414063785,-0.34084547091167894,-0.3507470379134786,-0.35331452939754615,-0.3535313467379133,-0.34892505285556785,-0.123752082683944,-0.25634094322771195,-0.22328998782988108,12.320666697810493
990,-0.33895077923948513,-0.34278402230865024,-0.340830497613576,-0.2155552565691693,-0.3496933782977437,-0.35309095666974666,-0.34941588215332386,-0.11538736487544743,-0.2215837025144588,-0.22143349883593466,-0.9665985867489978
