,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
1009,-0.3328590563565086,-0.3340474908755001,-0.33271497004177375,-0.3350958645826394,-0.32911960914592897,-0.3292305029424496,-0.32461813692989594,-0.2958909045394119,-0.16095246394239515,0.1321616913488064,-4.723694599328219
1008,-0.3356130539252251,-0.3403918767971922,-0.33638342807699795,-0.30817695147867086,-0.3320398922909311,-0.3289878390273372,-0.32608762739233843,-0.2891163280152248,-0.18688161973372241,0.11745266180210057,-9.106030769218847
1007,-0.33565795605949766,-0.33927752329806604,-0.3395727405729275,-0.2865244874239271,-0.33433418653613267,-0.3297128349218701,-0.3275256448311079,-0.2977575222461638,-0.20375853922376697,0.1032710856879171,-8.083780451283104
1006,-0.34200412437001837,-0.34541389656658783,-0.3481524403859212,0.04637285516144729,-0.33745814071073477,-0.3310579719328005,-0.3293533282772563,-0.2271468303550218,-0.20829471351524975,0.11780517055205664,-20.227509133864775
1005,-0.3524363868993414,-0.3568100183509856,-0.35575887582222276,-0.06032083179031322,-0.3424061486651384,-0.334398345579098,-0.3312671878596517,-0.18869259678342398,-0.22174490245214884,0.07338599531768097,-18.259213102353318
1004,-0.3548012326376958,-0.3586524161362077,-0.35782519096043064,-0.1584797068923428,-0.34742903567454186,-0.33812218812828876,-0.332756161622463,-0.15336690691505328,-0.22387569813505181,-0.06987448248650152,-5.723729942666164
1003,-0.35748039331595816,-0.3515354117884547,-0.35126688639133596,-0.09014997911375822,-0.3504062269013438,-0.3410716032446832,-0.3344459632506157,-0.10975847771228242,-0.19865972385220299,-0.09739701367753317,13.940653446106955
1002,-0.3495027807935346,-0.3514611215551796,-0.3514465659685715,-0.3790467300767051,-0.3527813905259455,-0.34340686894628747,-0.33588547940479807,-0.12826421406517863,-0.21224637462032103,-0.11781023221976195,-1.4073168210920255
1001,-0.34778153231308684,-0.34789519035797567,-0.34851179954039213,-0.11517829477172936,-0.3528532744187457,-0.34500515535014387,-0.33714440035171434,-0.16057669269142827,-0.19307866624658532,-0.12584927536269785,5.6387537466894075
1000,-0.3462398923697291,-0.34949985939671746,-0.3452326472558448,-0.5627661898608634,-0.35074767539214413,-0.3464266865565726,-0.3376689507462629,-0.26107275787096107,-0.22412971625270783,-0.17961557422284236,6.382507364142638
